name,category,lat,lon,address,city,phone,website,source,opportunity_score
Chazzano Coffee Roasters,cafe,42.4613036,-83.1137246,1737 East 9 Mile Road,Ferndale,,,OSM,40
Qazzaz Coffee,cafe,42.2636708,-83.2026826,5410 Allen Road,Windsor,,,OSM,40
Tim Hortons,cafe,42.2953672,-82.9417927,3136 Jefferson Boulevard,Windsor,,,OSM,40
Biggby Coffee,cafe,42.2263499,-83.2871613,25700 Goddard Road,Windsor,,,OSM,40
Buffalo Wild Wings,restaurant,42.4863124,-83.14433,500 South Main Street,Royal Oak,,,OSM,40
DearbornHIlls.com,restaurant,42.3013453,-83.2738111,,Windsor,,,OSM,40
bd's Mongolian Grill,restaurant,42.4868239,-83.1443874,430 South Main Street,Royal Oak,,,OSM,40
Small Plates,restaurant,42.4878072,-83.1444058,310 South Main Street,Royal Oak,,,OSM,40
Monterey Cantina,restaurant,42.4876927,-83.1444019,,Windsor,,,OSM,40
Mei Wah,restaurant,42.3115825,-83.0582349,,Windsor,,,OSM,40
The Whitney,restaurant,42.3527285,-83.0621298,4421 Woodward Avenue,Detroit,,,OSM,40
Lafayette Coney Island,restaurant,42.3314078,-83.048825,118 Lafayette Boulevard West,Detroit,,,OSM,40
Ten Eyck Tavern,restaurant,42.2969379,-83.2285895,,Windsor,,,OSM,40
Fishbones,restaurant,42.3344026,-83.0434117,,Windsor,,,OSM,40
Pegasus Taverna,restaurant,42.3351931,-83.0415337,,Windsor,,,OSM,40
Cellar D's,restaurant,42.3284504,-83.0502414,,Windsor,,,OSM,40
A Taste of History® Restaurant,restaurant,42.3073473,-83.2264114,,Windsor,,,OSM,40
Eagle Tavern,restaurant,42.3070894,-83.2266797,,Windsor,,,OSM,40
Buffalo Wild Wings,restaurant,42.3053442,-83.2484917,,Windsor,,,OSM,40
La Fork,restaurant,42.3047438,-83.2475618,1041 Howard Street,Dearborn,,,OSM,40
rams horn halal,restaurant,42.3362479,-83.1956722,,Windsor,,,OSM,40
O'sushi Japanese Restaurant,restaurant,42.3042474,-83.2519162,22431 Michigan Avenue,Dearborn,,,OSM,40
China Town,restaurant,42.3181821,-83.2236582,,Windsor,,,OSM,40
Fuddruckers,restaurant,42.3180052,-83.2237494,,Windsor,,,OSM,40
Ollie's Lebanese Cuisine,restaurant,42.3281047,-83.2033589,16351 Ford Road,Dearborn,,,OSM,40
Jet's Pizza,restaurant,42.352723,-83.0698916,,Windsor,,,OSM,40
Papa's Pizza,restaurant,42.365303,-83.087529,,Windsor,,,OSM,40
Middle Eats,restaurant,42.4925909,-83.2228972,27651 Southfield Road,Lathrup Village,,,OSM,40
Kirchenwirt,restaurant,42.3492362,-83.0528926,,Windsor,,,OSM,40
Maestro Pizza,restaurant,42.2968729,-82.9912226,2421 Walker Road,Windsor,,,OSM,40
Detroit Dogs,restaurant,42.4865079,-83.1456274,200 West 5th Street,Royal Oak,,,OSM,40
Da Luigi,restaurant,42.4867727,-83.14636,415 South Washington Avenue,Royal Oak,,,OSM,40
Ronin,restaurant,42.4873376,-83.1476107,326 West 4th Street,Royal Oak,,,OSM,40
D'amatos,restaurant,42.4878252,-83.1470153,222 Sherman Drive,Royal Oak,,,OSM,40
Simon's Prime Burger,restaurant,42.3179194,-83.039105,,Windsor,,,OSM,40
Shawarma Palace,restaurant,42.3178252,-83.0390353,,Windsor,,,OSM,40
Chanoso's,restaurant,42.3177648,-83.039388,,Windsor,,,OSM,40
Punjaabi Indian Cuisine,restaurant,42.3177985,-83.0394081,,Windsor,,,OSM,40
Royal Paan,restaurant,42.3178311,-83.0394282,,Windsor,,,OSM,40
Mack Ave Diner,restaurant,42.4297903,-82.9095241,,Windsor,,,OSM,40
Guns & Butter,restaurant,42.3346546,-83.0458297,1301 Broadway Street,Detroit,,,OSM,40
Big Boy,restaurant,42.4656394,-82.9581465,South Gratiot Avenue,Windsor,,,OSM,40
Effin Egg,restaurant,42.3504073,-83.0632328,,Windsor,,,OSM,40
Happy's Pizza,restaurant,42.4917408,-83.1048107,,Windsor,,,OSM,40
Plaza Deli,restaurant,42.4260875,-83.1610142,,Windsor,,,OSM,40
Hamtramck Coney Island,restaurant,42.3969428,-83.0581043,9741 Joseph Campau Street,Hamtramck,,,OSM,40
Campau Tower,restaurant,42.3995916,-83.0598177,10337 Joseph Campau Street,Hamtramck,,,OSM,40
China House,restaurant,42.3189474,-83.0976167,,Windsor,,,OSM,40
Starter's Bar and Grille,restaurant,42.3540119,-83.0628116,,Windsor,,,OSM,40
